user,staked,unstaked,total,factor
0x0000d46e00f14e0a592865d8e0a2abc4a429f62e,1,0,1,100
0x004e3fe60da5c19143e3089ccc5d2a0f6eb5f4d9,1,0,1,100
0x006f2bc81839510e36633e6fcf0277d2b2f623a9,8,0,8,100
0x0079ce80043edc3325598e4a3b6293ab779bf174,9,0,9,100
0x00c1f22da90f16ecc6a083bdc4904de725436ad0,2,0,2,100
0x00c77bb231baadf849da50396db2bbbe0ddbfea0,6,0,6,100
0x00d23648dd0e799402fff2364c1406ab109ac974,5,0,5,100
0x010ed7839b8a2ea15d8e6382735b725ad1f8bb6c,7,0,7,100
0x0124e83a35f748c17e2505a5be9c8ee01a2ac69c,4,0,4,100
0x01b30ca1bdde1f68abe69c46fe88f79b496ec63a,3,0,3,100
0x01ead00a6abb3e3add546fee6a9996fe1a7702e2,6,0,6,100
0x01f5cdb361c4a33ad8bd20d4350a8f17aa155f3a,2,0,2,100
0x01fb51f8a664f0f2b7cf8f6eee89f7c1b7e05ba1,8,0,8,100
0x0249bea8bd7820ce8c8f122dc48ca1a2adda1ca6,5,0,5,100
0x0258ca807b6473358ba5fcc9410fe1aa5b777ac2,2,0,2,100
0x02bf9d046e1c0ae7fd4819d298744473eb229171,1,0,1,100
0x02dee48a27027b09b62ad062dc5e08b78eee59e2,6,0,6,100
0x02f762d61776df03905e9c6bf1a105b270094fd3,1,0,1,100
0x02ffdd8eaffc14d4625a567a9c1e6dffc0f12bbf,4,0,4,100
0x0316d058079080f2d5ecd9dd36b759f2757ed371,0,0,0,0
0x031e8d4551379431bb94f994e1e2e2c686646cd6,36,0,36,100
0x0343df6363f659723c056bdb06062b24786de0db,4,0,4,100
0x038d59db5efcacf62ed9806f4379dec89dfe526a,1,0,1,100
0x03b070f2144c4ec5c1153f14bd4a03f151271901,2,0,2,100
0x03e7e945eb72f1bb2efd153b4aa6279dd8d928e8,1,0,1,100
0x03eafefdc0492c5fa3e9ac46b80e4a9dbd792b26,1,0,1,100
0x043c91573014f46f58f73ddfab865a2536532e81,1,0,1,100
0x043f34e45e288971a042d9689fba2a7c7c13c2dd,1,0,1,100
0x0450591ff9929df0383e9d01d06f7ee7d5aba3b7,37,4,41,90
0x0462ce7f04416e56a9cdc10544282d4e30a03609,11,0,11,100
0x04635cec919cca10780a8a4bc4feed4457a1c3f4,5,0,5,100
0x04f6e350e7b624d3fcff8eef6ef8f97cb799ca1d,1,19,20,5
0x04ff9dd102dedd2eff35669ee390088e7fc86799,1,0,1,100
0x0513e58916432fdef1cc424f0f2b4cdfe438bc9a,18,0,18,100
